Month,NIRBRS Crime,Frequency All Neighborhoods,Frequency % All Neighborhoods,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
1,INTIMIDATION,213,0.29,2,0.32,2,0.2,4,2.04,16,0.48,0,0,12,0.4,,,,,5,0.33,0,0,5,0.17,5,0.28,4,0.14,,,3,0.13,3,0.25,6,0.17,0,0,3,0.38,,,1,5.56,1,0.27,0,0,6,0.18,0,0,5,0.48,4,0.42,,,9,0.48,0,0,3,0.45,2,0.17,,,4,0.64,1,0.41,5,0.34,,,9,0.26,14,0.65,7,0.38,0,0,4,0.21,2,0.09,,,5,0.38,8,0.45,6,0.21,0,0,2,0.14,0,0,,,,,0,0,4,0.35,,,1,0.14,3,0.19,2,0.16,0,0,5,0.42,2,0.36,4,0.21,0,0,0,0,0,0,5,0.23,11,0.49,7,0.37,1,0.13
1,JUSTIFIABLE HOMICIDE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,1,0.06,0,0,,,0,0,0,0,1,0.03,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KIDNAPPING/ ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MURDER & NONNEGLIGENT MANSLAUGHTER,9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,0.07,0,0,0,0,,,0,0,0,0,1,0.03,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,3,0.14,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.05,0,0
1,NEGLIGENT MANSLAUGHTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,POCKET-PICKING,8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,3,0.09,0,0,0,0,1,0.11,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,0.15,0,0,,,0,0,1,0.06,0,0,1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PORNOGRAPHY/ OBSCENE MATERIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PURSE-SNATCHING,7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,,,1,0.05,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,1,0.05,0,0,0,0,0,0,,,2,0.15,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.05,0,0
1,ROBBERY-BUSINESS,48,0.06,1,0.16,0,0,0,0,4,0.12,0,0,2,0.07,,,,,0,0,0,0,1,0.03,0,0,2,0.07,,,2,0.08,0,0,4,0.12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0.1,4,0.42,,,1,0.05,1,0.31,0,0,0,0,,,1,0.16,0,0,2,0.14,,,3,0.09,1,0.05,1,0.05,0,0,1,0.05,0,0,,,0,0,2,0.11,2,0.07,0,0,0,0,0,0,,,,,0,0,0,0,,,1,0.14,2,0.12,0,0,0,0,2,0.17,1,0.18,0,0,0,0,0,0,2,0.81,0,0,1,0.04,3,0.16,0,0
1,ROBBERY-INDIVIDUAL,121,0.16,1,0.16,1,0.1,1,0.51,11,0.33,0,0,4,0.13,,,,,7,0.47,0,0,6,0.21,1,0.06,7,0.24,,,4,0.17,2,0.17,16,0.46,0,0,1,0.13,,,0,0,0,0,0,0,1,0.03,0,0,1,0.1,2,0.21,,,0,0,1,0.31,0,0,0,0,,,2,0.32,0,0,5,0.34,,,9,0.26,4,0.19,6,0.32,0,0,1,0.05,1,0.04,,,0,0,1,0.06,1,0.03,1,0.21,2,0.14,0,0,,,,,2,0.15,3,0.26,,,0,0,2,0.12,1,0.08,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,2,0.09,4,0.18,4,0.21,2,0.26
